Logging to ./experiments/advantage_regularized_ppo/
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2e+03    |
|    ep_rew_mean     | 59       |
|    ep_rew_mean_B_0 | 602      |
|    ep_rew_mean_B_1 | 452      |
|    ep_rew_mean_U_0 | 300      |
|    ep_rew_mean_U_1 | 230      |
| time/              |          |
|    fps             | 342      |
|    iterations      | 1        |
|    time_elapsed    | 11       |
|    total_timesteps | 4000     |
---------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.38956368    |
|    benefit_1                | 0.5675526     |
|    bias_estimate            | -0.17798895   |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 34            |
|    ep_rew_mean_B_0          | 590           |
|    ep_rew_mean_B_1          | 439           |
|    ep_rew_mean_U_0          | 301           |
|    ep_rew_mean_U_1          | 224           |
| time/                       |               |
|    fps                      | 275           |
|    iterations               | 2             |
|    time_elapsed             | 29            |
|    total_timesteps          | 8000          |
| train/                      |               |
|    approx_kl                | 3.1500775e-05 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.693        |
|    explained_variance       | 0.00378       |
|    explained_variance_B_0   | -0.0211       |
|    explained_variance_B_1   | -0.0083       |
|    explained_variance_U_0   | -0.0187       |
|    explained_variance_U_1   | -0.000344     |
|    learning_rate            | 1e-05         |
|    loss                     | 19.5          |
|    n_updates                | 10            |
|    policy_gradient_loss     | -0.00024      |
|    policy_gradient_loss_B_0 | -6.62e-06     |
|    policy_gradient_loss_B_1 | -7.07e-05     |
|    policy_gradient_loss_U_0 | -0.000601     |
|    policy_gradient_loss_U_1 | -0.000509     |
|    value_loss               | 4.59          |
|    value_loss_B_0           | 23.9          |
|    value_loss_B_1           | 14.1          |
|    value_loss_U_0           | 6.32          |
|    value_loss_U_1           | 3.39          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.56454694   |
|    benefit_1                | 0.39574254   |
|    bias_estimate            | 0.1688044    |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 24.2         |
|    ep_rew_mean_B_0          | 590          |
|    ep_rew_mean_B_1          | 440          |
|    ep_rew_mean_U_0          | 301          |
|    ep_rew_mean_U_1          | 223          |
| time/                       |              |
|    fps                      | 258          |
|    iterations               | 3            |
|    time_elapsed             | 46           |
|    total_timesteps          | 12000        |
| train/                      |              |
|    approx_kl                | 2.029522e-05 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.693       |
|    explained_variance       | 0.0045       |
|    explained_variance_B_0   | -0.0285      |
|    explained_variance_B_1   | -0.0137      |
|    explained_variance_U_0   | -0.0249      |
|    explained_variance_U_1   | -0.000638    |
|    learning_rate            | 1e-05        |
|    loss                     | 16.7         |
|    n_updates                | 20           |
|    policy_gradient_loss     | -0.000283    |
|    policy_gradient_loss_B_0 | -7.94e-05    |
|    policy_gradient_loss_B_1 | -1.11e-05    |
|    policy_gradient_loss_U_0 | -0.000552    |
|    policy_gradient_loss_U_1 | -0.000325    |
|    value_loss               | 4.9          |
|    value_loss_B_0           | 20.3         |
|    value_loss_B_1           | 11.6         |
|    value_loss_U_0           | 5.68         |
|    value_loss_U_1           | 2.66         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
